tool		SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/NullPointerException4.yml	false	false	1.946757	0.9341079529995113	114.827264	false	1.936715	0.9227660840006138	115.564544
jbmc-regression/RegexMatches01.yml	true	true	1.867197	0.9093693340000755	114.675712	true	2.014704	0.9670624009995663	116.117504
jbmc-regression/RegexMatches02.yml	false	true	1.915214	0.923293484000169	116.305920	true	2.138861	0.9732531739991828	127.762432
jbmc-regression/RegexSubstitution01.yml	true	true	2.031301	0.9518302690003111	116.817920	true	2.107937	0.9690483479998875	117.907456
jbmc-regression/RegexSubstitution02.yml	false	unknown	1.941084	0.9405326100004459	116.604928	unknown	2.077292	0.9642441030000555	116.191232
jbmc-regression/RegexSubstitution03.yml	true	true	1.906045	0.9346228629992765	116.674560	true	1.965738	0.9372638659997392	117.624832
jbmc-regression/StaticCharMethods01.yml	true	true	1.909007	0.908217615000467	113.987584	true	1.956426	0.9260821440002474	113.176576
jbmc-regression/StaticCharMethods02.yml	false	false	2.111062	1.0106055070000366	170.958848	false	2.153898	1.023230316000081	176.988160
jbmc-regression/StaticCharMethods03.yml	false	false	2.038756	1.008710666999832	169.340928	false	2.103311	1.020295704000091	173.355008
jbmc-regression/StaticCharMethods04.yml	false	false	1.937944	0.9168724940000175	124.760064	false	1.916705	0.908062247000089	117.026816
jbmc-regression/StaticCharMethods05.yml	false	unknown	2.035433	0.9695799780001835	117.047296	unknown	2.079862	0.9752299780002431	125.734912
jbmc-regression/StaticCharMethods06.yml	true	true	2.075818	1.0187102899999445	169.967616	true	2.263395	1.0563396650004506	172.969984
jbmc-regression/StringBuilderAppend01.yml	true	true	2.075458	0.9630514049995327	125.657088	true	2.087764	0.9673601159993268	116.539392
jbmc-regression/StringBuilderAppend02.yml	false	unknown	2.01581	0.9638704279996091	116.547584	unknown	2.071655	0.976393232999726	117.002240
jbmc-regression/StringBuilderCapLen01.yml	true	true	1.950524	0.9156474659994274	116.633600	true	1.980411	0.9365610159993594	117.874688
jbmc-regression/StringBuilderCapLen02.yml	false	false	1.989654	0.9463837959992816	120.623104	false	2.066145	0.988380578000033	119.726080
jbmc-regression/StringBuilderCapLen03.yml	false	unknown	1.937155	0.9409478519992263	116.002816	unknown	1.991561	0.9295909649999885	117.354496
jbmc-regression/StringBuilderCapLen04.yml	false	unknown	1.966958	0.9314304980007364	116.326400	unknown	1.963862	0.9473123509997095	124.481536
jbmc-regression/StringBuilderChars01.yml	true	true	2.023101	0.9662997059995178	115.503104	true	2.025694	0.9473673539996526	116.649984
jbmc-regression/StringBuilderChars02.yml	false	false	1.984518	0.9582700440005283	120.655872	false	2.004771	0.9685231299999941	117.719040
jbmc-regression/StringBuilderChars03.yml	false	unknown	2.01054	0.9652003250002963	116.723712	unknown	1.922434	0.9194391560004078	117.747712
jbmc-regression/StringBuilderChars04.yml	false	unknown	1.957928	0.9249312700003429	116.871168	unknown	1.978907	0.951635580000584	117.694464
jbmc-regression/StringBuilderChars05.yml	false	unknown	1.872655	0.912930595999569	116.719616	unknown	1.955523	0.9324114720002399	117.252096
jbmc-regression/StringBuilderChars06.yml	false	unknown	1.969587	0.9562026389994571	116.756480	unknown	1.94268	0.9295050029995764	116.719616
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	1.962436	0.9605743669999356	167.829504	unknown	2.074797	1.0117838370006211	171.786240
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	1.955289	0.954527441999744	116.047872	unknown	1.907356	0.9197093839993613	117.972992
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.024107	0.9636108189997685	120.782848	true	2.12587	0.9638562250001996	116.592640
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	2.103228	0.983252070999697	116.371456	unknown	2.101875	0.9682483540000248	125.050880
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	2.063875	0.96702292900045	125.054976	unknown	2.041965	0.9680443609995564	116.932608
jbmc-regression/StringCompare01.yml	true	true	1.964012	0.9365299170003709	114.888704	true	1.910979	0.930678677999822	115.089408
jbmc-regression/StringCompare02.yml	false	unknown	1.938151	0.9381976199993005	116.699136	unknown	1.917079	0.924998948999928	115.990528
jbmc-regression/StringCompare03.yml	false	unknown	1.878102	0.916836375999992	116.391936	unknown	1.923051	0.9264608050007155	116.961280
jbmc-regression/StringCompare04.yml	false	unknown	1.918873	0.9296068109997577	116.916224	unknown	1.979695	0.9519019700001081	116.883456
jbmc-regression/StringCompare05.yml	false	false	2.020939	0.9668051280004875	126.058496	false	2.020286	0.9670905490002042	127.844352
jbmc-regression/StringConcatenation01.yml	true	false	2.006593	0.9635522789994866	121.004032	false	1.998835	0.9754324279992943	118.677504
jbmc-regression/StringConcatenation02.yml	false	false	1.993013	0.9494955999998638	121.749504	false	1.914151	0.924559092999516	119.209984
jbmc-regression/StringConcatenation03.yml	false	false	2.041351	0.9759940740004822	121.602048	false	1.931352	0.942880616000366	119.246848
jbmc-regression/StringConcatenation04.yml	false	false	2.042834	0.9560748080002668	121.028608	false	2.055656	0.9628435619997617	129.138688
jbmc-regression/StringConstructors01.yml	true	true	1.981547	0.9409591539997564	115.859456	true	1.954573	0.9366959900007714	117.071872
jbmc-regression/StringConstructors02.yml	false	false	2.022395	0.9751536110006782	119.468032	false	2.026361	0.9559141660001842	119.869440
jbmc-regression/StringConstructors03.yml	false	false	2.019086	0.9747919390001698	120.541184	false	1.969689	0.9391315539996867	119.672832
jbmc-regression/StringConstructors04.yml	false	false	1.960739	0.9375094530005299	121.282560	false	1.963144	0.9407997380003508	119.320576
jbmc-regression/StringConstructors05.yml	false	false	2.018504	0.9551401859998805	122.204160	false	2.060319	0.956079487000352	122.826752
jbmc-regression/StringContains01.yml	false	false	1.927474	0.937267817999782	120.594432	false	1.961115	0.9407587699997748	118.906880
jbmc-regression/StringContains02.yml	false	false	1.965006	0.938799083000049	120.262656	false	2.065737	0.9786031840003488	128.090112
jbmc-regression/StringIndexMethods01.yml	true	true	1.96182	0.9167680969994763	114.958336	true	1.899477	0.9055195709997861	113.819648
jbmc-regression/StringIndexMethods02.yml	false	false	2.04845	0.9919051070000933	170.033152	false	2.102051	1.028865080000287	172.908544
jbmc-regression/StringIndexMethods03.yml	false	false	1.993816	0.9858428040006402	169.431040	false	2.102063	1.0234124179996797	173.146112
jbmc-regression/StringIndexMethods04.yml	false	false	2.113318	1.0304399639999247	170.577920	false	2.143635	1.0421675859997777	176.156672
jbmc-regression/StringIndexMethods05.yml	false	false	2.086207	0.9959419739998339	169.316352	false	2.125153	1.0242265480001151	173.322240
jbmc-regression/StringMiscellaneous01.yml	true	true	2.032732	0.9511436250004408	116.293632	true	2.021666	0.9492039030001251	125.599744
jbmc-regression/StringMiscellaneous02.yml	false	false	2.122885	1.0223533750004208	169.361408	false	2.185702	1.0429469500004416	176.209920
jbmc-regression/StringMiscellaneous03.yml	false	false	2.122678	1.0356734570004846	171.130880	false	2.112507	1.0356344950005223	173.232128
jbmc-regression/StringMiscellaneous04.yml	true	true	2.009431	0.9583227340008307	114.446336	true	2.074232	0.9597803690003275	115.499008
jbmc-regression/StringStartEnd01.yml	true	true	2.020328	0.9629538919998595	115.486720	true	1.997615	0.9460161150000204	115.621888
jbmc-regression/StringStartEnd02.yml	false	false	2.010556	0.9569324040003266	121.163776	false	2.060302	0.9663844930000778	119.648256
jbmc-regression/StringStartEnd03.yml	false	false	2.036565	0.9648539820000224	121.233408	false	2.020415	0.9609428320000006	120.070144
jbmc-regression/StringValueOf01.yml	true	true	1.962194	0.9374715909998486	115.748864	true	2.021906	0.9610156110002208	116.273152
jbmc-regression/StringValueOf02.yml	false	false	2.034029	0.9607500479996816	116.068352	false	2.059537	0.9630129360002684	121.327616
jbmc-regression/StringValueOf03.yml	false	false	1.965286	0.9486189180006477	117.415936	false	2.020879	0.9458467479998944	118.595584
jbmc-regression/StringValueOf04.yml	false	false	2.017001	0.9566290820002905	120.737792	false	2.021614	0.9460554730003423	118.702080
jbmc-regression/StringValueOf05.yml	false	false	2.110046	1.0508599740005593	172.773376	false	2.235377	1.0726220960004866	178.081792
jbmc-regression/StringValueOf06.yml	false	false	1.975154	0.9475691900006495	120.913920	false	2.055304	0.9678818559996216	117.481472
jbmc-regression/StringValueOf07.yml	false	unknown	1.959655	0.9318763379997108	116.727808	unknown	1.977942	0.9369316990005245	116.490240
jbmc-regression/StringValueOf08.yml	false	unknown	1.952369	0.9392917309996847	121.085952	unknown	2.034518	0.9668998839997585	118.128640
jbmc-regression/StringValueOf09.yml	false	unknown	2.013945	0.9696736839996447	120.160256	unknown	1.967335	0.947904679000203	118.943744
jbmc-regression/StringValueOf10.yml	false	false	1.95845	0.9411987249995946	120.176640	false	1.91409	0.9243613469998309	119.603200
jbmc-regression/SubString01.yml	true	true	1.923081	0.9226253540000471	114.188288	true	1.914118	0.9077975060008612	117.362688
jbmc-regression/SubString02.yml	false	false	1.955179	0.944074584000191	121.204736	false	1.963768	0.932338809000612	119.660544
jbmc-regression/SubString03.yml	false	false	2.063093	0.9897147900001073	121.184256	false	2.049827	0.9694959399994332	119.844864
jbmc-regression/TokenTest01.yml	true	true	1.997898	0.9318428149999818	122.863616	true	1.972798	0.9491690519998883	115.507200
jbmc-regression/TokenTest02.yml	false	unknown	1.897068	0.9242071459993895	116.695040	unknown	1.977013	0.960158846000013	116.789248
jbmc-regression/Validate01.yml	true	true	1.989423	0.9252130909999323	114.929664	true	1.979854	0.9450170440004513	121.925632
jbmc-regression/Validate02.yml	false	unknown	1.947154	0.9211365500004831	116.707328	unknown	1.964299	0.9460507930007225	118.255616
jbmc-regression/aastore_aaload1.yml	true	true	183.527352	183.26533456000016	208.306176	true	185.746419	185.50524403999952	209.252352
jbmc-regression/array1.yml	true	true	2.198198	1.0467286539997076	178.810880	true	2.183691	1.0395222119996106	175.804416
jbmc-regression/array2.yml	true	true	2.023695	0.9757823870004358	168.513536	true	2.100804	1.032635570999446	173.035520
jbmc-regression/arraylength1.yml	true	true	2.04942	0.9876293110000915	169.246720	true	2.072072	1.0016743839996707	172.339200
jbmc-regression/arrayread1.yml	true	true	2.165427	1.0379663610001444	173.137920	true	2.095774	1.0279471710000507	174.542848
jbmc-regression/assert1.yml	true	true	2.052317	0.9916660179997052	172.216320	true	2.061759	1.0126988960000745	172.670976
