tool		SPF Tue Aug 19 05:02:33 PM IST 2025	SPF Tue Aug 19 05:02:33 PM IST 2025	SPF Tue Aug 19 05:02:33 PM IST 2025	SPF Tue Aug 19 05:02:33 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringBuilderConstructors01.yml	true	true	2.02753	1.0105018430001564	179.347456
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	1.888333	0.9006157940000321	124.821504
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.047832	0.9714964320000945	127.717376
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	1.967378	0.9599001750000298	124.321792
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	1.964885	0.9556127209998522	123.924480
jbmc-regression/StringCompare01.yml	true	true	1.877997	0.9173220210000181	122.712064
jbmc-regression/StringCompare02.yml	false	unknown	1.855229	0.9232432860001154	132.145152
jbmc-regression/StringCompare03.yml	false	unknown	1.921105	0.9201210110002194	125.083648
jbmc-regression/StringCompare04.yml	false	unknown	1.894821	0.9320020919999479	124.751872
jbmc-regression/StringCompare05.yml	false	false	1.84472	0.9240506329999789	124.579840
jbmc-regression/StringConcatenation01.yml	true	true	2.295435	1.152107155000067	180.207616
jbmc-regression/StringConcatenation02.yml	false	false	2.099854	1.0225188909998906	178.831360
jbmc-regression/StringConcatenation03.yml	false	false	2.172871	1.054908322000074	184.463360
jbmc-regression/StringConcatenation04.yml	false	false	2.142752	1.034188094000001	183.336960
jbmc-regression/StringConstructors01.yml	true	true	1.877705	0.9427500940000755	130.908160
jbmc-regression/StringConstructors02.yml	false	false	2.185134	1.0579516899999817	183.832576
jbmc-regression/StringConstructors03.yml	false	false	2.059907	1.009754459000078	183.664640
jbmc-regression/StringConstructors04.yml	false	false	2.089487	1.006776334000051	184.004608
jbmc-regression/StringConstructors05.yml	false	false	2.163275	1.036529653000116	184.819712
jbmc-regression/StringContains01.yml	false	false	2.088514	1.0212367019998965	184.180736
