tool		SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Thu Jul 17 01:25:44 PM IST 2025	SPF Thu Jul 17 01:25:44 PM IST 2025	SPF Thu Jul 17 01:25:44 PM IST 2025	SPF Thu Jul 17 01:25:44 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/NullPointerException3.yml	false	false	1.900996	0.9251692990001175	114.839552	false	1.97425	0.9478825220012368	122.646528
jbmc-regression/NullPointerException4.yml	false	false	1.946757	0.9341079529995113	114.827264	false	1.947318	0.9224493220008299	114.692096
jbmc-regression/RegexMatches01.yml	true	true	1.867197	0.9093693340000755	114.675712	true	1.927437	0.9147147349995066	114.753536
jbmc-regression/RegexMatches02.yml	false	true	1.915214	0.923293484000169	116.305920	true	2.00172	0.9397382030001609	116.965376
jbmc-regression/RegexSubstitution01.yml	true	true	2.031301	0.9518302690003111	116.817920	true	2.106811	0.9650944489985704	128.929792
jbmc-regression/RegexSubstitution02.yml	false	unknown	1.941084	0.9405326100004459	116.604928	unknown	1.981095	0.9205334960006439	116.760576
jbmc-regression/RegexSubstitution03.yml	true	true	1.906045	0.9346228629992765	116.674560	true	1.983528	0.9252756320001936	115.970048
jbmc-regression/StaticCharMethods01.yml	true	true	1.909007	0.908217615000467	113.987584	true	1.949525	0.9228412810007285	121.606144
jbmc-regression/StaticCharMethods02.yml	false	false	2.111062	1.0106055070000366	170.958848	false	2.23565	1.0620051830010198	173.154304
jbmc-regression/StaticCharMethods03.yml	false	false	2.038756	1.008710666999832	169.340928	false	2.190547	1.0151526199988439	173.527040
jbmc-regression/StaticCharMethods04.yml	false	false	1.937944	0.9168724940000175	124.760064	false	1.95315	0.9301176150001993	115.707904
jbmc-regression/StaticCharMethods05.yml	false	unknown	2.035433	0.9695799780001835	117.047296	unknown	2.038895	0.9524278080007207	116.736000
jbmc-regression/StaticCharMethods06.yml	true	true	2.075818	1.0187102899999445	169.967616	true	2.183909	1.0431816139989678	173.039616
jbmc-regression/StringBuilderAppend01.yml	true	true	2.075458	0.9630514049995327	125.657088	true	2.086738	0.9692597190005472	116.621312
jbmc-regression/StringBuilderAppend02.yml	false	unknown	2.01581	0.9638704279996091	116.547584	unknown	2.056171	0.9459057919993938	116.346880
jbmc-regression/StringBuilderCapLen01.yml	true	true	1.950524	0.9156474659994274	116.633600	true	1.943733	0.9134836379998887	118.853632
jbmc-regression/StringBuilderCapLen02.yml	false	false	1.989654	0.9463837959992816	120.623104	false	2.013265	0.9540522040006181	119.324672
jbmc-regression/StringBuilderCapLen03.yml	false	unknown	1.937155	0.9409478519992263	116.002816	unknown	1.89814	0.9186058279992722	121.454592
jbmc-regression/StringBuilderCapLen04.yml	false	unknown	1.966958	0.9314304980007364	116.326400	unknown	1.9915	0.9327531460003229	117.338112
jbmc-regression/StringBuilderChars01.yml	true	true	2.023101	0.9662997059995178	115.503104	true	1.986251	0.939874248999331	113.520640
jbmc-regression/StringBuilderChars02.yml	false	false	1.984518	0.9582700440005283	120.655872	false	2.038331	0.9723369910007023	129.499136
jbmc-regression/StringBuilderChars03.yml	false	unknown	2.01054	0.9652003250002963	116.723712	unknown	1.956006	0.9254667420009355	116.662272
jbmc-regression/StringBuilderChars04.yml	false	unknown	1.957928	0.9249312700003429	116.871168	unknown	1.983342	0.9360593989986228	114.507776
jbmc-regression/StringBuilderChars05.yml	false	unknown	1.872655	0.912930595999569	116.719616	unknown	1.912097	0.9156010660008178	117.407744
jbmc-regression/StringBuilderChars06.yml	false	unknown	1.969587	0.9562026389994571	116.756480	unknown	1.984911	0.942586103999929	116.936704
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	1.962436	0.9605743669999356	167.829504	unknown	2.149236	1.0269678760014358	173.527040
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	1.955289	0.954527441999744	116.047872	unknown	1.919086	0.9141205360010645	116.482048
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.024107	0.9636108189997685	120.782848	true	2.116205	0.9793948080005066	128.684032
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	2.103228	0.983252070999697	116.371456	unknown	2.096483	0.9792589589997078	115.195904
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	2.063875	0.96702292900045	125.054976	unknown	2.10524	0.9784700839991274	116.699136
jbmc-regression/StringCompare01.yml	true	true	1.964012	0.9365299170003709	114.888704	true	2.005351	0.9425555060006445	112.656384
jbmc-regression/StringCompare02.yml	false	unknown	1.938151	0.9381976199993005	116.699136	unknown	1.888276	0.9080438519995369	117.071872
jbmc-regression/StringCompare03.yml	false	unknown	1.878102	0.916836375999992	116.391936	unknown	1.960134	0.946085249999669	117.014528
jbmc-regression/StringCompare04.yml	false	unknown	1.918873	0.9296068109997577	116.916224	unknown	2.004457	0.9482482109997363	121.937920
jbmc-regression/StringCompare05.yml	false	false	2.020939	0.9668051280004875	126.058496	false	2.018685	0.9524007569998503	127.959040
jbmc-regression/StringConcatenation01.yml	true	false	2.006593	0.9635522789994866	121.004032	false	2.034049	0.9463178280002467	119.115776
jbmc-regression/StringConcatenation02.yml	false	false	1.993013	0.9494955999998638	121.749504	false	1.996534	0.9406973590012058	118.542336
jbmc-regression/StringConcatenation03.yml	false	false	2.041351	0.9759940740004822	121.602048	false	2.027735	0.947111571998903	128.458752
jbmc-regression/StringConcatenation04.yml	false	false	2.042834	0.9560748080002668	121.028608	false	2.061438	0.972136321999642	119.349248
jbmc-regression/StringConstructors01.yml	true	true	1.981547	0.9409591539997564	115.859456	true	2.003729	0.9469790630009811	116.256768
jbmc-regression/StringConstructors02.yml	false	false	2.022395	0.9751536110006782	119.468032	false	1.97094	0.9554040910006734	119.414784
jbmc-regression/StringConstructors03.yml	false	false	2.019086	0.9747919390001698	120.541184	false	1.954231	0.9330568589994073	119.103488
jbmc-regression/StringConstructors04.yml	false	false	1.960739	0.9375094530005299	121.282560	false	2.030401	0.9645409069999005	118.968320
jbmc-regression/StringConstructors05.yml	false	false	2.018504	0.9551401859998805	122.204160	false	2.068599	0.9598506700003782	121.085952
jbmc-regression/StringContains01.yml	false	false	1.927474	0.937267817999782	120.594432	false	1.929273	0.9305899959999806	118.484992
jbmc-regression/StringContains02.yml	false	false	1.965006	0.938799083000049	120.262656	false	1.956155	0.9306142100012949	119.459840
jbmc-regression/StringIndexMethods01.yml	true	true	1.96182	0.9167680969994763	114.958336	true	1.995904	0.9432452179989923	117.243904
jbmc-regression/StringIndexMethods02.yml	false	false	2.04845	0.9919051070000933	170.033152	false	2.226874	1.0308108389999688	176.574464
jbmc-regression/StringIndexMethods03.yml	false	false	1.993816	0.9858428040006402	169.431040	false	2.123668	1.002815236999595	173.531136
jbmc-regression/StringIndexMethods04.yml	false	false	2.113318	1.0304399639999247	170.577920	false	2.234578	1.0639398650000658	176.369664
jbmc-regression/StringIndexMethods05.yml	false	false	2.086207	0.9959419739998339	169.316352	false	2.148315	1.0256875659997604	174.301184
jbmc-regression/StringMiscellaneous01.yml	true	true	2.032732	0.9511436250004408	116.293632	true	2.012071	0.9586734830008936	115.236864
jbmc-regression/StringMiscellaneous02.yml	false	false	2.122885	1.0223533750004208	169.361408	false	2.144158	1.0393100159999449	173.678592
jbmc-regression/StringMiscellaneous03.yml	false	false	2.122678	1.0356734570004846	171.130880	false	2.141017	1.01672162199975	175.611904
jbmc-regression/StringMiscellaneous04.yml	true	true	2.009431	0.9583227340008307	114.446336	true	2.010157	0.959999077998873	114.159616
jbmc-regression/StringStartEnd01.yml	true	true	2.020328	0.9629538919998595	115.486720	true	1.951108	0.921111714998915	114.069504
jbmc-regression/StringStartEnd02.yml	false	false	2.010556	0.9569324040003266	121.163776	false	2.061916	0.9756946609995794	118.571008
jbmc-regression/StringStartEnd03.yml	false	false	2.036565	0.9648539820000224	121.233408	false	2.058655	0.9697271779987204	129.249280
jbmc-regression/StringValueOf01.yml	true	true	1.962194	0.9374715909998486	115.748864	true	2.008856	0.9458192090005468	115.752960
jbmc-regression/StringValueOf02.yml	false	false	2.034029	0.9607500479996816	116.068352	false	1.986686	0.9398414890001732	117.743616
jbmc-regression/StringValueOf03.yml	false	false	1.965286	0.9486189180006477	117.415936	false	2.072975	0.9706934269997873	127.348736
jbmc-regression/StringValueOf04.yml	false	false	2.017001	0.9566290820002905	120.737792	false	2.00846	0.9448205499993492	127.991808
jbmc-regression/StringValueOf05.yml	false	false	2.110046	1.0508599740005593	172.773376	false	2.107514	1.0160072359994956	162.488320
jbmc-regression/StringValueOf06.yml	false	false	1.975154	0.9475691900006495	120.913920	false	2.000825	0.9542281169997295	119.046144
jbmc-regression/StringValueOf07.yml	false	unknown	1.959655	0.9318763379997108	116.727808	unknown	1.972556	0.9280999879993033	125.886464
jbmc-regression/StringValueOf08.yml	false	unknown	1.952369	0.9392917309996847	121.085952	unknown	1.996222	0.9509961029998522	118.816768
jbmc-regression/StringValueOf09.yml	false	unknown	2.013945	0.9696736839996447	120.160256	unknown	1.956954	0.9260381669992057	117.485568
jbmc-regression/StringValueOf10.yml	false	false	1.95845	0.9411987249995946	120.176640	false	1.992719	0.9637092319990188	118.013952
jbmc-regression/SubString01.yml	true	true	1.923081	0.9226253540000471	114.188288	true	1.993537	0.9349497099992732	114.946048
jbmc-regression/SubString02.yml	false	false	1.955179	0.944074584000191	121.204736	false	2.039878	0.9830210399995849	118.075392
jbmc-regression/SubString03.yml	false	false	2.063093	0.9897147900001073	121.184256	false	1.956456	0.9283243699992454	119.136256
jbmc-regression/TokenTest01.yml	true	true	1.997898	0.9318428149999818	122.863616	true	1.963342	0.9132105560001946	114.012160
jbmc-regression/TokenTest02.yml	false	unknown	1.897068	0.9242071459993895	116.695040	unknown	2.024836	0.966398434000439	114.401280
jbmc-regression/Validate01.yml	true	true	1.989423	0.9252130909999323	114.929664	true	2.02293	0.9493274519991246	116.097024
jbmc-regression/Validate02.yml	false	unknown	1.947154	0.9211365500004831	116.707328	unknown	1.991533	0.9594679689998884	115.605504
jbmc-regression/aastore_aaload1.yml	true	true	183.527352	183.26533456000016	208.306176	true	187.354326	187.1544098989998	199.815168
jbmc-regression/array1.yml	true	true	2.198198	1.0467286539997076	178.810880	true	2.385344	1.0772991889989498	187.944960
jbmc-regression/array2.yml	true	true	2.023695	0.9757823870004358	168.513536	true	2.082216	1.0011395729998185	174.759936
jbmc-regression/arraylength1.yml	true	true	2.04942	0.9876293110000915	169.246720	unknown	32.600579	31.00811924899972	482.926592
jbmc-regression/arrayread1.yml	true	true	2.165427	1.0379663610001444	173.137920	true	2.157151	1.014985682999395	177.307648
jbmc-regression/assert1.yml	true	true	2.052317	0.9916660179997052	172.216320	true	2.140566	0.9963873779997812	176.562176
jbmc-regression/assert2.yml	false	false	2.131477	1.016026442999646	172.281856	false	2.164455	1.0541152559999318	174.202880
jbmc-regression/assert3.yml	false	false	2.062594	1.0079088760003287	171.683840	false	2.007732	0.9774887269995816	164.610048
jbmc-regression/assert4.yml	false	false	2.083211	0.9877148919995307	169.185280	false	2.118046	0.9963049430007231	173.416448
jbmc-regression/assert5.yml	true	true	2.005471	0.9722932739996395	169.066496	true	2.180056	1.0368373220007925	173.924352
jbmc-regression/assert6.yml	true	true	2.037382	0.9801436970001305	167.636992	true	2.115161	1.0068285899997136	172.916736
jbmc-regression/astore_aload1.yml	true	true	2.059823	0.9742547349997039	114.651136	true	2.024904	0.940517961000296	113.344512
jbmc-regression/athrow1.yml	false	false	1.871331	0.8944100280004932	115.118080	false	1.942036	0.9227610189991537	113.213440
jbmc-regression/basic1.yml	true	true	1.977671	0.9200701159998061	115.118080	true	2.00037	0.9432625570007076	113.967104
jbmc-regression/bitwise1.yml	true	unknown	2.107306	1.0114670700004353	166.703104	unknown	2.066492	1.013405548999799	166.486016
jbmc-regression/boolean1.yml	true	true	2.035365	0.9782703620003304	169.320448	true	2.134134	1.0236762900003669	175.394816
jbmc-regression/boolean2.yml	true	true	2.098762	1.0095763520002947	169.418752	true	2.10575	1.0027344739992259	174.141440
jbmc-regression/bug-test-gen-095.yml	false	false	2.030522	0.9734279750000496	120.152064	false	2.031787	0.9461833440000191	130.076672
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.933	0.9357749280006828	114.663424	true	1.95894	0.9329468110008747	114.073600
jbmc-regression/bug-test-gen-119.yml	true	false	2.100779	1.008064018999903	172.531712	false	2.227516	1.0682933179996326	177.963008
jbmc-regression/calc.yml	true	true	47.69473	46.793665131000125	191.111168	true	48.186335	47.19863661999989	194.076672
jbmc-regression/cast1.yml	true	unknown	1.988226	0.9755242900000667	168.095744	unknown	2.263481	1.0358059930003947	180.551680
