tool		SPF Wed Aug 20 01:45:48 PM IST 2025	SPF Wed Aug 20 01:45:48 PM IST 2025	SPF Wed Aug 20 01:45:48 PM IST 2025	SPF Wed Aug 20 01:45:48 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringBuilderConstructors01.yml	true	true	1.995188	1.0052665590010292	179.499008
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	1.866608	0.9321292909990007	124.588032
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.085281	0.9765296330006095	127.934464
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	1.971875	0.9487828399996943	124.059648
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	1.955321	0.9716275739992852	124.956672
jbmc-regression/StringCompare01.yml	true	true	1.886144	0.9430905440003698	122.179584
jbmc-regression/StringCompare02.yml	false	unknown	1.862571	0.934609840000121	124.440576
jbmc-regression/StringCompare03.yml	false	unknown	1.864001	0.9430494469997939	124.276736
jbmc-regression/StringCompare04.yml	false	unknown	1.859734	0.9225451390011585	124.002304
jbmc-regression/StringCompare05.yml	false	false	1.90038	0.9605965590017149	125.136896
jbmc-regression/StringConcatenation01.yml	true	true	2.201569	1.0947770399998262	179.802112
jbmc-regression/StringConcatenation02.yml	false	false	2.091483	1.0427150940013235	179.310592
jbmc-regression/StringConcatenation03.yml	false	false	2.151128	1.0251238189994183	184.303616
jbmc-regression/StringConcatenation04.yml	false	false	2.170997	1.0568265089987108	183.816192
jbmc-regression/StringConstructors01.yml	true	true	1.86317	0.9098654000008537	123.715584
jbmc-regression/StringConstructors02.yml	false	false	2.099304	1.0289310560001468	183.394304
jbmc-regression/StringConstructors03.yml	false	false	2.170023	1.0424427219986683	183.595008
jbmc-regression/StringConstructors04.yml	false	false	2.176957	1.0715803929997492	187.531264
jbmc-regression/StringConstructors05.yml	false	false	2.152335	1.0650264949999837	185.774080
jbmc-regression/StringContains01.yml	false	false	2.148093	1.0296717709989025	184.307712
jbmc-regression/StringContains02.yml	false	false	2.181711	1.0374621560004016	183.373824
jbmc-regression/StringIndexMethods01.yml	true	true	1.859687	0.9272420900015277	122.744832
jbmc-regression/StringIndexMethods02.yml	false	false	2.006356	0.997789623999779	181.694464
jbmc-regression/StringIndexMethods03.yml	false	false	2.061381	1.0300941249988682	180.920320
jbmc-regression/StringIndexMethods04.yml	false	false	2.011991	0.9892265139988012	181.362688
jbmc-regression/StringIndexMethods05.yml	false	false	2.072423	1.033818355999756	182.034432
jbmc-regression/StringMiscellaneous01.yml	true	true	1.93711	0.9282657879994076	127.815680
jbmc-regression/StringMiscellaneous02.yml	false	false	2.053169	1.018610458000694	181.166080
jbmc-regression/StringMiscellaneous03.yml	false	false	2.159868	1.073417130000962	207.634432
jbmc-regression/StringMiscellaneous04.yml	true	true	1.926038	0.9450398949993541	123.232256
jbmc-regression/StringStartEnd01.yml	true	true	1.87938	0.9191797439998481	122.347520
jbmc-regression/StringStartEnd02.yml	false	false	2.160169	1.070614543999909	185.974784
jbmc-regression/StringStartEnd03.yml	false	false	2.19682	1.0805972760008444	185.159680
jbmc-regression/StringValueOf01.yml	true	true	1.843362	0.9184146130010049	123.420672
jbmc-regression/StringValueOf02.yml	false	false	2.11875	1.0346864309994999	185.098240
jbmc-regression/StringValueOf03.yml	false	false	1.934751	0.9462368479998986	126.386176
jbmc-regression/StringValueOf04.yml	false	false	2.090875	1.028901790999953	179.478528
jbmc-regression/StringValueOf05.yml	false	false	2.154792	1.046234478999395	206.860288
jbmc-regression/StringValueOf06.yml	false	false	2.129454	1.030881048000083	181.796864
jbmc-regression/StringValueOf07.yml	false	unknown	1.900946	0.9415886680017138	127.430656
jbmc-regression/StringValueOf08.yml	false	unknown	1.855434	0.9071118860010756	125.157376
jbmc-regression/StringValueOf09.yml	false	unknown	1.894309	0.9360805289998098	125.308928
jbmc-regression/StringValueOf10.yml	false	false	2.085024	1.017726013000356	179.392512
