tool		SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sat Jun 14 11:29:35 PM IST 2025	SPF Sat Jun 14 11:29:35 PM IST 2025	SPF Sat Jun 14 11:29:35 PM IST 2025	SPF Sat Jun 14 11:29:35 PM IST 2025
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/Class_method1.yml	true	true	1.666467	0.8465662329999759	115.843072	true	1.542486	0.7662185919980402	67.346432
jbmc-regression/Inheritance1.yml	true	true	1.775425	0.85971244600114	116.203520	true	1.771524	0.8980469879970769	67.960832
jbmc-regression/NegativeArraySizeException1.yml	true	false	1.717434	0.8468472210006439	115.650560	false	1.6379	0.8056172409997089	68.530176
jbmc-regression/NegativeArraySizeException2.yml	true	false	1.679167	0.8537111940004252	115.380224	false	1.562546	0.7810929980005312	69.021696
jbmc-regression/NullPointerException1.yml	true	true	1.819199	0.8890397739996843	116.281344	true	1.624189	0.8169123820007371	68.136960
jbmc-regression/NullPointerException2.yml	true	false	1.747191	0.8574876769998809	115.068928	false	1.702628	0.8245486980013084	68.079616
jbmc-regression/NullPointerException3.yml	true	false	1.71594	0.8487141780005913	115.224576	false	1.644555	0.8269853660021909	68.591616
jbmc-regression/NullPointerException4.yml	true	false	1.745346	0.8877195840013883	115.793920	false	1.680214	0.841302827000618	71.024640
jbmc-regression/RegexMatches01.yml	true	true	1.824467	0.8936748300002364	116.744192	true	1.686727	0.8299536080012331	68.452352
jbmc-regression/RegexMatches02.yml	true	true	1.894879	0.9222090390012454	119.308288	true	1.725537	0.8589456949994201	73.330688
jbmc-regression/RegexSubstitution01.yml	true	true	1.899348	0.9061033359994326	118.665216	true	1.658806	0.8015973439978552	69.468160
jbmc-regression/RegexSubstitution02.yml	true	unknown	1.871069	0.907004277998567	118.738944	unknown	1.744007	0.8662874619985814	69.234688
jbmc-regression/RegexSubstitution03.yml	true	true	1.887414	0.8930940499994904	118.714368	true	1.646727	0.8049407469989092	70.127616
jbmc-regression/StaticCharMethods01.yml	true	true	1.804624	0.8852800120002939	114.716672	true	1.671907	0.8129971649977961	67.964928
jbmc-regression/StaticCharMethods02.yml	true	false	2.006072	0.9504021350003313	172.363776	false	1.804504	0.8972293820006598	95.444992
jbmc-regression/StaticCharMethods03.yml	true	false	1.981309	0.9738682429997425	174.415872	false	1.737005	0.8791617229981057	95.895552
jbmc-regression/StaticCharMethods04.yml	true	false	1.735592	0.854740277000019	117.227520	false	1.552101	0.7783255989997997	68.640768
jbmc-regression/StaticCharMethods05.yml	false	unknown	1.90494	0.9084183440008928	118.632448	unknown	1.7026	0.8299959329997364	69.976064
jbmc-regression/StaticCharMethods06.yml	true	true	1.91952	0.9507301009998628	173.641728	true	1.706761	0.8392198080000526	94.924800
jbmc-regression/StringBuilderAppend01.yml	true	true	1.891846	0.9072139019990573	119.783424	true	1.710228	0.8361887389983167	69.812224
jbmc-regression/StringBuilderAppend02.yml	true	unknown	1.933634	0.9145943650000845	118.968320	unknown	1.6394	0.7917812839987164	68.771840
jbmc-regression/StringBuilderCapLen01.yml	true	true	1.766298	0.8702403620009136	118.329344	true	1.66443	0.8433895650014165	70.475776
jbmc-regression/StringBuilderCapLen02.yml	true	false	1.854983	0.8898192790002213	134.668288	false	1.711428	0.8466961330013874	72.482816
jbmc-regression/StringBuilderCapLen03.yml	true	unknown	1.824571	0.8781177990003926	118.435840	unknown	1.68399	0.858215513999312	70.950912
jbmc-regression/StringBuilderCapLen04.yml	true	unknown	1.807708	0.8732560469998134	118.857728	unknown	1.670566	0.8246340990008321	69.029888
jbmc-regression/StringBuilderChars01.yml	true	true	1.858907	0.9015138350005145	117.370880	true	1.645231	0.8018438069993863	69.308416
jbmc-regression/StringBuilderChars02.yml	true	false	1.850304	0.9071159480008646	119.074816	false	1.768181	0.8474533890002931	75.235328
jbmc-regression/StringBuilderChars03.yml	false	unknown	1.827407	0.9022232980005356	119.037952	unknown	1.638426	0.8331091749969346	69.410816
jbmc-regression/StringBuilderChars04.yml	true	unknown	1.807759	0.8676861439998902	116.670464	unknown	1.642382	0.8279151580027246	70.946816
jbmc-regression/StringBuilderChars05.yml	false	unknown	1.791928	0.8670185099999799	116.695040	unknown	1.597692	0.7913903310000023	69.312512
jbmc-regression/StringBuilderChars06.yml	true	unknown	1.757268	0.859644488999038	117.276672	unknown	1.616172	0.8103890940001293	68.960256
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.044044	1.0049393860008422	173.944832	unknown	1.713592	0.8551906979992054	94.842880
jbmc-regression/StringBuilderConstructors02.yml	true	unknown	1.8509	0.8821266779996222	115.490816	unknown	1.67406	0.8380332319975423	69.709824
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	1.934496	0.9161751539995748	120.979456	true	1.732568	0.8645842820005782	70.225920
jbmc-regression/StringBuilderInsertDelete02.yml	true	unknown	1.910719	0.9179251009991276	118.878208	unknown	1.711403	0.8437712589984585	69.562368
jbmc-regression/StringBuilderInsertDelete03.yml	true	unknown	1.846956	0.8929870189986104	117.485568	unknown	1.806667	0.8873610670016205	72.081408
jbmc-regression/StringCompare01.yml	true	true	1.803506	0.8728001300005417	116.056064	true	1.704739	0.8279645260008692	67.928064
jbmc-regression/StringCompare02.yml	true	unknown	1.764866	0.8789788260000932	118.853632	unknown	1.768199	0.8936686939996434	79.798272
jbmc-regression/StringCompare03.yml	true	unknown	1.78976	0.8861125860003085	117.481472	unknown	1.730623	0.8428942729988194	72.200192
jbmc-regression/StringCompare04.yml	true	unknown	1.813067	0.8739211060001253	118.136832	unknown	1.676372	0.8362071559968172	69.177344
jbmc-regression/StringCompare05.yml	true	false	1.82495	0.8889002629985043	117.968896	false	1.691888	0.8351160120000714	69.865472
jbmc-regression/StringConcatenation01.yml	true	false	1.882234	0.894960337998782	120.414208	false	1.749339	0.8811701140002697	76.787712
jbmc-regression/StringConcatenation02.yml	true	false	1.899215	0.9103241140001046	120.795136	false	1.780879	0.8801954830014438	72.933376
jbmc-regression/StringConcatenation03.yml	true	false	1.864142	0.9092435919992568	120.119296	false	1.753455	0.8735338160004176	72.548352
jbmc-regression/StringConcatenation04.yml	true	false	1.899806	0.9200787009995111	122.097664	false	1.728579	0.8818093640002189	72.941568
jbmc-regression/StringConstructors01.yml	true	true	1.780114	0.8495448489993578	116.527104	true	1.685488	0.8511425040014728	68.239360
jbmc-regression/StringConstructors02.yml	true	false	1.90979	0.9157475689989951	120.700928	false	1.684027	0.8389223289996153	72.740864
jbmc-regression/StringConstructors03.yml	true	false	1.858005	0.9159698969997407	120.668160	false	1.696594	0.8432839130000502	72.622080
jbmc-regression/StringConstructors04.yml	true	false	1.933287	0.9156574000007822	123.138048	false	1.719561	0.8458112760017684	72.298496
jbmc-regression/StringConstructors05.yml	true	false	1.877729	0.8930376179996529	123.162624	false	1.655957	0.8138020599981246	73.629696
jbmc-regression/StringContains01.yml	true	false	1.79048	0.8734263429996645	118.112256	false	1.768681	0.8811658910017286	72.560640
jbmc-regression/StringContains02.yml	true	false	1.870991	0.8988569480006845	121.638912	false	1.683265	0.8382722930000455	72.601600
jbmc-regression/StringIndexMethods01.yml	true	true	1.8847	0.9097401859999081	115.105792	true	1.734037	0.8810008969994669	69.169152
jbmc-regression/StringIndexMethods02.yml	true	false	1.991036	0.9498133270008111	173.109248	false	1.67529	0.8533384479997039	95.219712
jbmc-regression/StringIndexMethods03.yml	true	false	1.95378	0.9664188120004837	173.506560	false	1.885971	0.9370298969988653	97.677312
jbmc-regression/StringIndexMethods04.yml	true	false	2.052164	0.9798554910012172	174.845952	false	1.723707	0.8586326100012229	95.461376
jbmc-regression/StringIndexMethods05.yml	true	false	2.024837	0.9930136049988505	174.198784	false	1.950846	0.9604171760001918	95.244288
jbmc-regression/StringMiscellaneous01.yml	true	true	1.905988	0.920388823000394	118.030336	true	1.756896	0.8568643069993414	80.052224
jbmc-regression/StringMiscellaneous02.yml	true	false	1.903102	0.9548389440005849	173.510656	false	1.694569	0.863033784997242	95.879168
jbmc-regression/StringMiscellaneous03.yml	false	false	2.07869	0.9987945330012735	175.771648	false	1.695496	0.8465221910009859	95.965184
jbmc-regression/StringMiscellaneous04.yml	true	true	1.85337	0.898793939000825	116.686848	true	1.661531	0.8075879310017626	68.653056
