tool		SPF Tue Aug 19 05:02:33 PM IST 2025	SPF Tue Aug 19 05:02:33 PM IST 2025	SPF Tue Aug 19 05:02:33 PM IST 2025	SPF Tue Aug 19 05:02:33 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringBuilderConstructors01.yml	true	true	2.408369	1.1702017909997267	177.541120
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	2.266724	1.0845182339999155	124.760064
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.593575	1.209246315999735	128.389120
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	2.406155	1.1340851099998872	124.141568
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	2.51687	1.2278655730001446	125.075456
jbmc-regression/StringCompare01.yml	true	true	2.495495	1.2202384020001773	122.728448
jbmc-regression/StringCompare02.yml	false	unknown	2.388323	1.2108369399998082	123.920384
jbmc-regression/StringCompare03.yml	false	unknown	2.38779	1.2198690870000064	123.842560
jbmc-regression/StringCompare04.yml	false	unknown	2.184358	1.0562682539998605	124.010496
jbmc-regression/StringCompare05.yml	false	false	2.186881	1.0251789579997421	138.018816
jbmc-regression/StringConcatenation01.yml	true	true	2.599671	1.2279752790000202	179.896320
jbmc-regression/StringConcatenation02.yml	false	false	2.452797	1.1574918809997143	178.765824
jbmc-regression/StringConcatenation03.yml	false	false	2.526115	1.1861772299998847	185.163776
jbmc-regression/StringConcatenation04.yml	false	false	2.474225	1.1911192960001245	184.123392
jbmc-regression/StringConstructors01.yml	true	true	2.274327	1.0690282700002172	123.617280
jbmc-regression/StringConstructors02.yml	false	false	2.547888	1.2079494150002574	183.353344
jbmc-regression/StringConstructors03.yml	false	false	2.250337	1.1195955289999802	170.504192
jbmc-regression/StringConstructors04.yml	false	false	2.455698	1.1679930529999183	184.213504
jbmc-regression/StringConstructors05.yml	false	false	2.498849	1.16637025800037	184.352768
jbmc-regression/StringContains01.yml	false	false	2.531043	1.23513634200026	184.397824
jbmc-regression/StringContains02.yml	false	false	2.524174	1.197636977000002	183.558144
jbmc-regression/StringIndexMethods01.yml	true	true	2.242451	1.05825548599978	122.540032
jbmc-regression/StringIndexMethods02.yml	false	false	2.354851	1.11850574600021	178.036736
jbmc-regression/StringIndexMethods03.yml	false	false	2.333209	1.1139106749997154	178.651136
jbmc-regression/StringIndexMethods04.yml	false	false	2.396488	1.1524585950000983	177.356800
jbmc-regression/StringIndexMethods05.yml	false	false	2.415823	1.1495123370000329	179.167232
jbmc-regression/StringMiscellaneous01.yml	true	true	2.228472	1.075284288000148	125.911040
jbmc-regression/StringMiscellaneous02.yml	false	false	2.326615	1.1252347469999222	179.064832
jbmc-regression/StringMiscellaneous03.yml	false	false	2.823158	1.2580443440001545	221.859840
jbmc-regression/StringMiscellaneous04.yml	true	true	2.292436	1.1080727730000035	123.133952
jbmc-regression/StringStartEnd01.yml	true	true	2.105938	1.0223198749999938	121.835520
jbmc-regression/StringStartEnd02.yml	false	false	2.679188	1.3716135660001783	186.060800
jbmc-regression/StringStartEnd03.yml	false	false	2.61916	1.2698447319999104	186.544128
jbmc-regression/StringValueOf01.yml	true	true	2.229207	1.0800931119997585	123.559936
jbmc-regression/StringValueOf02.yml	false	false	2.482614	1.186034391999783	185.704448
jbmc-regression/StringValueOf03.yml	false	false	2.24101	1.0670110510000086	129.921024
jbmc-regression/StringValueOf04.yml	false	false	2.453384	1.162195998000243	181.088256
jbmc-regression/StringValueOf05.yml	false	false	2.517155	1.1791927499998565	204.713984
jbmc-regression/StringValueOf06.yml	false	false	2.563426	1.196450062999702	188.641280
jbmc-regression/StringValueOf07.yml	false	unknown	2.138005	1.0351672649999273	122.392576
