tool		SPF Sun Jul 27 06:24:35 PM IST 2025	SPF Sun Jul 27 06:24:35 PM IST 2025	SPF Sun Jul 27 06:24:35 PM IST 2025	SPF Sun Jul 27 06:24:35 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringBuilderChars06.yml	false	unknown	1.922198	0.9110355360026006	115.769344
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	2.019552	0.9769309119983518	128.380928
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	1.989477	0.9542611659999238	116.260864
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	2.022447	0.964638899997226	117.653504
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	2.044804	0.9651622259989381	116.195328
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	2.043009	0.9558517120021861	115.871744
jbmc-regression/StringCompare01.yml	true	true	1.918557	0.9218317390004813	113.786880
jbmc-regression/StringCompare02.yml	false	unknown	1.832417	0.8969785110020894	115.945472
jbmc-regression/StringCompare03.yml	false	unknown	1.890593	0.9091984059996321	115.572736
jbmc-regression/StringCompare04.yml	false	unknown	1.891996	0.9106857679980749	115.945472
jbmc-regression/StringCompare05.yml	false	false	1.890688	0.9239426349995483	115.798016
jbmc-regression/StringConcatenation01.yml	true	false	1.905662	0.9245191900008649	119.881728
jbmc-regression/StringConcatenation02.yml	false	false	1.976985	0.952386936001858	120.430592
jbmc-regression/StringConcatenation03.yml	false	false	2.006647	0.9779394010001852	120.098816
jbmc-regression/StringConcatenation04.yml	false	false	2.004402	0.9671341409994056	121.540608
jbmc-regression/StringConstructors01.yml	true	true	1.878911	0.904567423996923	115.556352
jbmc-regression/StringConstructors02.yml	false	false	1.974152	0.9600004499989154	119.898112
jbmc-regression/StringConstructors03.yml	false	false	2.022337	0.956686653997167	119.590912
jbmc-regression/StringConstructors04.yml	false	false	1.964527	0.9376906539982883	120.971264
jbmc-regression/StringConstructors05.yml	false	false	2.010343	0.9597192630026257	133.005312
jbmc-regression/StringContains01.yml	false	false	1.884729	0.9148679139980231	120.635392
jbmc-regression/StringContains02.yml	false	false	1.943469	0.9329504599991196	129.007616
jbmc-regression/StringIndexMethods01.yml	true	true	1.924477	0.9012738310011628	113.958912
jbmc-regression/StringIndexMethods02.yml	false	false	1.994415	0.9583503780013416	129.122304
jbmc-regression/StringIndexMethods03.yml	false	false	1.954018	0.9654498590025469	129.400832
jbmc-regression/StringIndexMethods04.yml	false	false	1.964142	0.958557207002741	123.269120
jbmc-regression/StringIndexMethods05.yml	false	false	2.016536	0.9999018249982328	128.876544
jbmc-regression/StringMiscellaneous01.yml	true	true	1.946291	0.915547795000748	115.318784
jbmc-regression/StringMiscellaneous02.yml	false	false	1.985575	0.9543169819989998	128.856064
jbmc-regression/StringMiscellaneous03.yml	false	false	1.991259	0.9779637380015629	129.478656
jbmc-regression/StringMiscellaneous04.yml	true	true	1.957745	0.9241358740000578	114.884608
jbmc-regression/StringStartEnd01.yml	true	true	1.879837	0.92286322200016	115.228672
jbmc-regression/StringStartEnd02.yml	false	false	1.929014	0.9337955910013989	120.483840
jbmc-regression/StringStartEnd03.yml	false	false	2.001181	0.9547066250015632	120.442880
jbmc-regression/StringValueOf01.yml	true	true	1.983365	0.9323821699981636	115.060736
jbmc-regression/StringValueOf02.yml	false	false	2.018684	0.9522688139986712	119.271424
jbmc-regression/StringValueOf03.yml	false	false	1.938574	0.9269957640026405	118.517760
jbmc-regression/StringValueOf04.yml	false	false	1.967975	0.9425329379992036	120.467456
jbmc-regression/StringValueOf05.yml	false	false	2.072524	0.9714812080019328	131.665920
jbmc-regression/StringValueOf06.yml	false	false	1.93823	0.9343127050015028	120.074240
jbmc-regression/StringValueOf07.yml	false	unknown	1.884203	0.9166981490016042	115.531776
jbmc-regression/StringValueOf08.yml	false	unknown	1.980208	0.9505980350004393	119.062528
jbmc-regression/StringValueOf09.yml	false	unknown	2.037227	0.9696001160009473	129.060864
jbmc-regression/StringValueOf10.yml	false	false	1.963977	0.9460663720019511	119.992320
jbmc-regression/SubString01.yml	true	true	1.925972	0.9298338699991291	114.847744
jbmc-regression/SubString02.yml	false	false	1.963258	0.9435892069996044	120.053760
jbmc-regression/SubString03.yml	false	false	1.968101	0.9432923880012822	120.406016
jbmc-regression/TokenTest01.yml	true	true	2.003112	0.9417516339999565	114.778112
jbmc-regression/TokenTest02.yml	false	unknown	1.91213	0.911995874997956	116.293632
jbmc-regression/Validate01.yml	true	true	1.884129	0.9133058119987254	112.582656
jbmc-regression/Validate02.yml	false	unknown	1.911542	0.9283603049989324	116.674560
